,examples,hypotheses,references
10," = = Filmography = = 
",/ =,['Filmography = =']
11," = = = Film = = = 
",History of the United States,['Film = = =']
12," = = = Television = = = 
",History of the United States,['Television = = =']
13," = = = Theatre = = = 
",""" = ~ =",['Theatre = = =']
14," = Du Fu = 
",vall 's,['Fu =']
15," Du Fu ( Wade – Giles : Tu Fu ; Chinese : 杜甫 ; 712 – 770 ) was a prominent Chinese poet of the Tang dynasty . Along with Li Bai ( Li Po ) , he is frequently called the greatest of the Chinese poets . His greatest ambition was to serve his country as a successful civil servant , but he proved unable to make the necessary accommodations . His life , like the whole country , was devastated by the An Lushan Rebellion of 755 , and his last 15 years were a time of almost constant unrest . 
",", however , was to write a poem that could be translated into English . The poem was written in the early seventeenth century , but it was not published until the late eighteenth century . It is believed to have been written by Li Fu , who was the first to translate the poem into Chinese . He was also the author of a number of works of poetry , most of which are known to be of Chinese origin .","['was to serve his country as a successful civil servant , but he proved unable to make the necessary accommodations . His life , like the whole country , was devastated by the An Lushan Rebellion of 755 , and his last 15 years were a time of almost constant unrest .']"
16," Although initially he was little @-@ known to other writers , his works came to be hugely influential in both Chinese and Japanese literary culture . Of his poetic writing , nearly fifteen hundred poems have been preserved over the ages . He has been called the "" Poet @-@ Historian "" and the "" Poet @-@ Sage "" by Chinese critics , while the range of his work has allowed him to be introduced to Western readers as "" the Chinese Virgil , Horace , Ovid , Shakespeare , Milton , Burns , Wordsworth , Béranger , Hugo or Baudelaire "" . 
","of China "" , "" the most influential Chinese poet of the 20th century , and the author of a number of works of poetry , including a collection of short stories . His works have also been translated into many languages . In the early 1900s , he published a series of poems , which were published in English and Chinese .","['"" and the "" Poet @-@ Sage "" by Chinese critics , while the range of his work has allowed him to be introduced to Western readers as "" the Chinese Virgil , Horace , Ovid , Shakespeare , Milton , Burns , Wordsworth , Béranger , Hugo or Baudelaire "" .']"
17," = = Life = = 
",/ =,['Life = =']
18," Traditional Chinese literary criticism emphasized the life of the author when interpreting a work , a practice which Burton Watson attributes to "" the close links that traditional Chinese thought posits between art and morality "" . Since many of Du Fu 's poems feature morality and history , this practice is particularly important . Another reason , identified by the Chinese historian William Hung , is that Chinese poems are typically concise , omitting context that might be relevant , but which an informed contemporary could be assumed to know . For modern Western readers , "" The less accurately we know the time , the place and the circumstances in the background , the more liable we are to imagine it incorrectly , and the result will be that we either misunderstand the poem or fail to understand it altogether "" . Stephen Owen suggests a third factor particular to Du Fu , arguing that the variety of the poet 's work required consideration of his whole life , rather than the "" reductive "" categorizations used for more limited poets . 
","This is especially important in the case of poetry , where the reader is expected to be familiar with the meaning of a poem , and to understand its meaning in a way that is consistent with its context . In the same vein , Burton writes , "" Poetry is a form of self-reflection . It is an expression of one's own self . "" In other words , the poem is not merely a reflection of oneself but of others . Burton describes the poet as "" a person who is able to see the world through the eyes of his or her own eyes . He or she is aware of what is going on around him or herself . .","['For modern Western readers , "" The less accurately we know the time , the place and the circumstances in the background , the more liable we are to imagine it incorrectly , and the result will be that we either misunderstand the poem or fail to understand it altogether "" . Stephen Owen suggests a third factor particular to Du Fu , arguing that the variety of the poet \'s work required consideration of his whole life , rather than the "" reductive "" categorizations used for more limited poets .']"
19," = = = Early years = = = 
",development of the first stage,['years = = =']
20," Most of what is known of Du Fu 's life comes from his poems . His paternal grandfather was Du Shenyan , a noted politician and poet during the reign of Empress Wu . Du Fu was born in 712 ; the exact birthplace is unknown , except that it was near Luoyang , Henan province ( Gong county is a favourite candidate ) . In later life , he considered himself to belong to the capital city of Chang 'an , ancestral hometown of the Du family . 
","of his father is unknown . He was educated at the University of Guizhou , the capital of the People's Republic of China ( PRC ) , where he received his Ph.D. from the Chinese Academy of Social Sciences . In the year 715 , he was appointed to the post of Minister of Foreign Affairs .","[""is unknown , except that it was near Luoyang , Henan province ( Gong county is a favourite candidate ) . In later life , he considered himself to belong to the capital city of Chang 'an , ancestral hometown of the Du family .""]"
21," Du Fu 's mother died shortly after he was born , and he was partially raised by his aunt . He had an elder brother , who died young . He also had three half brothers and one half sister , to whom he frequently refers in his poems , although he never mentions his stepmother . 
","at the age of twenty-two , but his father was not a member of the royal family . His mother was the daughter of a wealthy merchant who had been married to a nobleman .","['young . He also had three half brothers and one half sister , to whom he frequently refers in his poems , although he never mentions his stepmother .']"
22," The son of a minor scholar @-@ official , his youth was spent on the standard education of a future civil servant : study and memorisation of the Confucian classics of philosophy , history and poetry . He later claimed to have produced creditable poems by his early teens , but these have been lost . 
","English language and literature . He was educated at the University of Oxford , Oxford University , Cambridge and Cambridge University . At the age of 16 , he joined the Royal College of Physicians in London , where he received his doctorate of medicine from the London School of Hygiene","['Confucian classics of philosophy , history and poetry . He later claimed to have produced creditable poems by his early teens , but these have been lost .']"
23," In the early 730s , he travelled in the Jiangsu / Zhejiang area ; his earliest surviving poem , describing a poetry contest , is thought to date from the end of this period , around 735 . In that year , he took the civil service exam , likely in Chang 'an . He failed , to his surprise and that of centuries of later critics . Hung concludes that he probably failed because his prose style at the time was too dense and obscure , while Chou suggests his failure to cultivate connections in the capital may have been to blame . After this failure , he went back to traveling , this time around Shandong and Hebei . 
",", in his first attempt at writing poetry , but he was able to complete it by the time of his death in 740 . The poem is believed to have been written during the period of the Great Leap Forward , when China was at war with the United States , and was written by a Chinese poet named Liu Bei , who was the first to write a poem in English .","['and that of centuries of later critics . Hung concludes that he probably failed because his prose style at the time was too dense and obscure , while Chou suggests his failure to cultivate connections in the capital may have been to blame . After this failure , he went back to traveling , this time around Shandong and Hebei .']"
24," His father died around 740 . Du Fu would have been allowed to enter the civil service because of his father 's rank , but he is thought to have given up the privilege in favour of one of his half brothers . He spent the next four years living in the Luoyang area , fulfilling his duties in domestic affairs . 
","birth to a son . He died of a heart attack at the age of 16 , and his mother died shortly after . The family moved to the United States in the early 1900s , where he worked as a clerk at a grocery store .","['up the privilege in favour of one of his half brothers . He spent the next four years living in the Luoyang area , fulfilling his duties in domestic affairs .']"
25," In the autumn of 744 , he met Li Bai ( Li Po ) for the first time , and the two poets formed a friendship . David Young describes this as "" the most significant formative element in Du Fu 's artistic development "" because it gave him a living example of the reclusive poet @-@ scholar life to which he was attracted after his failure in the civil service exam . The relationship was somewhat one @-@ sided , however . Du Fu was by some years the younger , while Li Bai was already a poetic star . We have twelve poems to or about Li Bai from the younger poet , but only one in the other direction . They met again only once , in 745 . 
","father died in 745 . The relationship between David and Li led to the formation of a close friendship between them in the spring of 845 , when David wrote a letter to Li , asking her to marry him . Li replied that she was not interested in marrying him , but that he should marry her if he wanted to become a poet . In 846 , Li wrote to David asking him to send her a copy of his poem , which she agreed to do .","['failure in the civil service exam . The relationship was somewhat one @-@ sided , however . Du Fu was by some years the younger , while Li Bai was already a poetic star . We have twelve poems to or about Li Bai from the younger poet , but only one in the other direction . They met again only once , in 745 .']"
26," In 746 , he moved to the capital in an attempt to resurrect his official career . He took the civil service exam a second time during the following year , but all the candidates were failed by the prime minister ( apparently in order to prevent the emergence of possible rivals ) . He never again attempted the examinations , instead petitioning the emperor directly in 751 , 754 and probably again in 755 . He married around 752 , and by 757 the couple had had five children — three sons and two daughters — but one of the sons died in infancy in 755 . From 754 he began to have lung problems ( probably asthma ) , the first of a series of ailments which dogged him for the rest of his life . It was in that year that Du Fu was forced to move his family due to the turmoil of a famine brought about by massive floods in the region . 
","he had three children . In 758 , his wife died , leaving him with only two sons . His eldest son was born in the year 761 , while his youngest son died at the age of 762 . The next year he married the daughter of a wealthy merchant , who had been a member of the royal family for a number of years . After his death , however , the marriage was annulled and he was forced to live with his family in a villa on the outskirts of Damascus , where he lived for the rest of his life .","['the couple had had five children — three sons and two daughters — but one of the sons died in infancy in 755 . From 754 he began to have lung problems ( probably asthma ) , the first of a series of ailments which dogged him for the rest of his life . It was in that year that Du Fu was forced to move his family due to the turmoil of a famine brought about by massive floods in the region .']"
27," In 755 , he received an appointment as Registrar of the Right Commandant 's office of the Crown Prince 's Palace . Although this was a minor post , in normal times it would have been at least the start of an official career . Even before he had begun work , however , the position was swept away by events . 
","circumstances it would have been an important one . He was appointed to the post by Queen Elizabeth II in 756 , and was succeeded by Prince William III in July 757 . In 758 , however, he was removed from his post and replaced by King George VI .","['times it would have been at least the start of an official career . Even before he had begun work , however , the position was swept away by events .']"
28," = = = War = = = 
",History of the United States,['War = = =']
29," The An Lushan Rebellion began in December 755 , and was not completely suppressed for almost eight years . It caused enormous disruption to Chinese society : the census of 754 recorded 52 @.@ 9 million people , but ten years later , the census counted just 16 @.@ 9 million , the remainder having been displaced or killed . During this time , Du Fu led a largely itinerant life unsettled by wars , associated famines and imperial displeasure . This period of unhappiness was the making of Du Fu as a poet : Even Shan Chou has written that , "" What he saw around him — the lives of his family , neighbors , and strangers – what he heard , and what he hoped for or feared from the progress of various campaigns — these became the enduring themes of his poetry "" . Even when he learned of the death of his youngest child , he turned to the suffering of others in his poetry instead of dwelling upon his own misfortunes . Du Fu wrote : 
",", who became known as the "" Emperor of the People "" . In the year 756 , he became the first Emperor to rule China . He was succeeded by his younger brother Hu Jintao in 757 . Hu was assassinated on December 8 , 758 , in a coup d'état in the capital of Tianjin , where he was overthrown and executed by the Chinese army . The Emperor died on January 1 , 659 , at the age of 70 .  The following year , Hu died of a heart attack and his body was taken to the Imperial Palace to be buried with the rest of his family . After the death of Hu , his wife and three children were sent to live with him in an orphanage in Shandong Province , which was later converted into a refugee camp for the poor and destitute . At the time","['as a poet : Even Shan Chou has written that , "" What he saw around him — the lives of his family , neighbors , and strangers – what he heard , and what he hoped for or feared from the progress of various campaigns — these became the enduring themes of his poetry "" . Even when he learned of the death of his youngest child , he turned to the suffering of others in his poetry instead of dwelling upon his own misfortunes . Du Fu wrote :']"
30," Brooding on what I have lived through , if even I know such suffering , the common man must surely be rattled by the winds . 
","a thing , I can't help but wonder if it is possible for me to live in a world where there is no such","['suffering , the common man must surely be rattled by the winds .']"
31," In 756 , Emperor Xuanzong was forced to flee the capital and abdicate . Du Fu , who had been away from the city , took his family to a place of safety and attempted to join the court of the new emperor ( Suzong ) , but he was captured by the rebels and taken to Chang 'an . In the autumn , his youngest son , Du Zongwu ( Baby Bear ) , was born . Around this time Du Fu is thought to have contracted malaria . 
",") . However , he was unable to do so due to his lack of experience in the imperial court . He was exiled to the province of Zhejiang , where he remained until his death in 757 . In 758 , after the death of his father , the emperor sent a delegation to meet him at the Imperial Palace .","["") , but he was captured by the rebels and taken to Chang 'an . In the autumn , his youngest son , Du Zongwu ( Baby Bear ) , was born . Around this time Du Fu is thought to have contracted malaria .""]"
32," He escaped from Chang 'an the following year , and was appointed Reminder when he rejoined the court in May 757 . This post gave access to the emperor but was largely ceremonial . Du Fu 's conscientiousness compelled him to try to make use of it : he caused trouble for himself by protesting the removal of his friend and patron Fang Guan on a petty charge . He was arrested but was pardoned in June . He was granted leave to visit his family in September , but he soon rejoined the court and on December 8 , 757 , he returned to Chang 'an with the emperor following its recapture by government forces . However , his advice continued to be unappreciated , and in the summer of 758 he was demoted to a post as Commissioner of Education in Huazhou . The position was not to his taste : in one poem , he wrote : 
","sentenced to three years in prison and ordered to pay a fine of 1,000 yuan (about US $ 2 ,000 ) .   He died at the age of 80 in a prison cell at Chang'an on July 8 , 1857 , after a long battle with the Chinese army , which he managed to escape with only minor injuries to his body and a few broken bones . In 1858 , he was awarded the title of Emperor of the People of China , a title he held until his death in 1859 . During his reign , the imperial family was divided into three families , each consisting of three sons and three daughters . The eldest son was the eldest , while the second and third sons were the youngest ; the third and fourth sons had to be raised","[""granted leave to visit his family in September , but he soon rejoined the court and on December 8 , 757 , he returned to Chang 'an with the emperor following its recapture by government forces . However , his advice continued to be unappreciated , and in the summer of 758 he was demoted to a post as Commissioner of Education in Huazhou . The position was not to his taste : in one poem , he wrote :""]"
33," I am about to scream madly in the office / Especially when they bring more papers to pile higher on my desk . 
",when I hear the sound of the door closing / And I am afraid I will not be able to open it,['when they bring more papers to pile higher on my desk .']
34," He moved on in the summer of 759 ; this has traditionally been ascribed to famine , but Hung believes that frustration is a more likely reason . He next spent around six weeks in Qinzhou ( now Tianshui , Gansu province ) , where he wrote more than sixty poems . 
","cause of the famine . The famine was caused by a combination of factors , such as a lack of food and a shortage of water , which led to the spread of disease and disease-causing bacteria .","['reason . He next spent around six weeks in Qinzhou ( now Tianshui , Gansu province ) , where he wrote more than sixty poems .']"
35," = = = Chengdu = = = 
",""" = ~ =",['Chengdu = = =']
36," In December 759 , he briefly stayed in Tonggu ( modern Gansu ) . He departed on December 24 for Chengdu ( Sichuan province ) , where he was hosted by local Prefect and fellow poet Pei Di . Du subsequently based himself in Sichuan for most of the next five years . By the autumn of that year he was in financial trouble , and sent poems begging help to various acquaintances . He was relieved by Yan Wu , a friend and former colleague who was appointed governor general at Chengdu . Despite his financial problems , this was one of the happiest and most peaceful periods of his life . Many of Du 's poems from this period are peaceful depictions of his life at "" thatched hut "" . In 762 , he left the city to escape a rebellion , but he returned in summer 764 when he was appointed an advisor to Yan , who was involved in campaigns against the Tibetan Empire . 
","teacher of his at the University of Guizhou , who offered him a place in the university library . In the spring of this year , Du received a letter from Yan telling him that he would not be able to return to China until he had completed his studies in China . The letter was addressed to Du , but he did not reply . On December 25 , the following day he received an e-mail from the Chinese embassy in Hong Kong , asking him to come back to the U.S. . "" I am very grateful to you for your letter ,"" he wrote , "" and I hope that you will return soon to your country of origin . I wish you the best of luck in your future endeavors .""","['colleague who was appointed governor general at Chengdu . Despite his financial problems , this was one of the happiest and most peaceful periods of his life . Many of Du \'s poems from this period are peaceful depictions of his life at "" thatched hut "" . In 762 , he left the city to escape a rebellion , but he returned in summer 764 when he was appointed an advisor to Yan , who was involved in campaigns against the Tibetan Empire .']"
37," = = = Last years = = = 
",@-@ year =,['years = = =']
38," Luoyang , the region of his birthplace , was recovered by government forces in the winter of 762 , and in the spring of 765 Du Fu and his family sailed down the Yangtze , apparently with the intention of making their way there . They traveled slowly , held up by his ill @-@ health ( by this time he was suffering from poor eyesight , deafness and general old age in addition to his previous ailments ) . They stayed in Kuizhou ( in what is now Baidicheng , Chongqing ) at the entrance to the Three Gorges for almost two years from late spring 766 . This period was Du Fu 's last great poetic flowering , and here he wrote 400 poems in his dense , late style . In autumn 766 , Bo Maolin became governor of the region : he supported Du Fu financially and employed him as his unofficial secretary . 
",", but by the end of the year they were able to make it to the mainland , where they arrived at the capital of Zhongshan . The city was built on the site of an ancient temple , which had been destroyed by an earthquake in 769 . Du Guo was the first Chinese emperor to visit the city . He was accompanied by a number of other dignitaries , including the Emperor of China and the Empress of Great Britain , Queen Elizabeth II , Prince Charles of Wales and Prince Philip of Spain .","["". They stayed in Kuizhou ( in what is now Baidicheng , Chongqing ) at the entrance to the Three Gorges for almost two years from late spring 766 . This period was Du Fu 's last great poetic flowering , and here he wrote 400 poems in his dense , late style . In autumn 766 , Bo Maolin became governor of the region : he supported Du Fu financially and employed him as his unofficial secretary .""]"
39," In March 768 , he began his journey again and got as far as Hunan province , where he died in Tanzhou ( now Changsha ) in November or December 770 , in his 58th year . He was survived by his wife and two sons , who remained in the area for some years at least . His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813 . 
","buried in a cemetery in the city of Hainan . His body was found on the outskirts of the capital , and his remains were found at the site of an ancient tomb . The tomb was discovered by a Chinese archaeologist who had been excavating the tomb for more than a decade , but he was unable to find any evidence of his body .","['survived by his wife and two sons , who remained in the area for some years at least . His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813 .']"
40," Hung summarises his life by concluding that , "" He appeared to be a filial son , an affectionate father , a generous brother , a faithful husband , a loyal friend , a dutiful official , and a patriotic subject . "" 
","and a loving husband . He was a devout Christian , but he was not a Christian at the time of his death . ""","['a generous brother , a faithful husband , a loyal friend , a dutiful official , and a patriotic subject . ""']"
41," Below is an example of one of Du Fu 's later works , To My Retired Friend Wei ( Chinese : 贈衛八處士 ) . Like many other poems in the Tang it featured the theme of a long parting between friends , which was often due to officials being frequently transferred to the provinces : 
","works of his time , it is a collection of short stories . The story begins with a young man named Wei , who has lost his father in a fire and is forced to live with his mother and sister in the","['poems in the Tang it featured the theme of a long parting between friends , which was often due to officials being frequently transferred to the provinces :']"
42," = = Works = = 
",/ =,['Works = =']
43," Criticism of Du Fu 's works has focused on his strong sense of history , his moral engagement , and his technical excellence . 
","of humor , which he often uses in his work . He has also been criticized for his lack of self-","['of history , his moral engagement , and his technical excellence .']"
44," = = = History = = = 
",""" = ~ =",['History = = =']
45," Since the Song dynasty , critics have called Du Fu the "" poet historian "" ( 詩史 shī shǐ ) . The most directly historical of his poems are those commenting on military tactics or the successes and failures of the government , or the poems of advice which he wrote to the emperor . Indirectly , he wrote about the effect of the times in which he lived on himself , and on the ordinary people of China . As Watson notes , this is information "" of a kind seldom found in the officially compiled histories of the era "" . 
","during his reign . He is considered to be one of China's greatest poets , and is regarded as the most influential poet in the history of Chinese poetry . Du is known to have written a number of poems , most of which have been translated into English . His most famous poem , "" The Song Dynasty "" , was translated from Chinese into Chinese and published by the Chinese Academy of Arts and Sciences ( CACAS ) in 2000 .","['to the emperor . Indirectly , he wrote about the effect of the times in which he lived on himself , and on the ordinary people of China . As Watson notes , this is information "" of a kind seldom found in the officially compiled histories of the era "" .']"
46," Du Fu 's political comments are based on emotion rather than calculation : his prescriptions have been paraphrased as , "" Let us all be less selfish , let us all do what we are supposed to do "" . Since his views were impossible to disagree with , his forcefully expressed truisms enabled his installation as the central figure of Chinese poetic history . 
","what we can to help the poor and needy . "" He has also been accused of being an anti-Semite , a term coined by Holocaust denier Richard Spencer , and of using the Holocaust as an excuse to justify his views on Israel . In a speech at the University of California at Berkeley , he said","['what we are supposed to do "" . Since his views were impossible to disagree with , his forcefully expressed truisms enabled his installation as the central figure of Chinese poetic history .']"
47," = = = Moral engagement = = = 
",and ethical values =,['engagement = = =']
48," A second favourite epithet of Chinese critics is that of "" poet sage "" ( 詩聖 shī shèng ) , a counterpart to the philosophical sage , Confucius . One of the earliest surviving works , The Song of the Wagons ( from around 750 ) , gives voice to the sufferings of a conscript soldier in the imperial army and a clear @-@ sighted consciousness of suffering . These concerns are continuously articulated in poems on the lives of both soldiers and civilians produced by Du Fu throughout his life . 
","is a collection of poems written in the style of Confucianism . The poem is composed of three parts , one of which consists of a short poem and the other of two parts . In the first part , the poem begins with the words ""  "" , followed by a description of what is to come , and ends with a summary of all the things that are to happen .","[', gives voice to the sufferings of a conscript soldier in the imperial army and a clear @-@ sighted consciousness of suffering . These concerns are continuously articulated in poems on the lives of both soldiers and civilians produced by Du Fu throughout his life .']"
