,examples,predictions,references
18," Traditional Chinese literary criticism emphasized the life of the author when interpreting a work , a practice which Burton Watson attributes to "" the close links that traditional Chinese thought posits between art and morality "" . Since many of Du Fu 's poems feature morality and history , this practice is particularly important . Another reason , identified by the Chinese historian William Hung , is that Chinese poems are typically concise , omitting context that might be relevant , but which an informed contemporary could be assumed to know . For modern Western readers , "" The less accurately we know the time , the place and the circumstances in the background , the more liable we are to imagine it incorrectly , and the result will be that we either misunderstand the poem or fail to understand it altogether "" . Stephen Owen suggests a third factor particular to Du Fu , arguing that the variety of the poet 's work required consideration of his whole life , rather than the "" reductive "" categorizations used for more limited poets . 
","This is especially true in the case of poems such as the Song of Song , in which the protagonist is told that he is the only one who can save the world from the evil spirits . In this case , however , the reader is left with the impression that the poem is written by a person who is not aware of his or her own existence , and who has no idea of what he or she is doing . The poet is then forced to choose between saving his own life or saving the lives of those around him . As a result , he ends up in a state of despair and despairing , as if he has lost all hope of ever being able to save his life .","['For modern Western readers , "" The less accurately we know the time , the place and the circumstances in the background , the more liable we are to imagine it incorrectly , and the result will be that we either misunderstand the poem or fail to understand it altogether "" . Stephen Owen suggests a third factor particular to Du Fu , arguing that the variety of the poet \'s work required consideration of his whole life , rather than the "" reductive "" categorizations used for more limited poets .']"
19," = = = Early years = = = 
","in the 19th century , the British",['years = = =']
20," Most of what is known of Du Fu 's life comes from his poems . His paternal grandfather was Du Shenyan , a noted politician and poet during the reign of Empress Wu . Du Fu was born in 712 ; the exact birthplace is unknown , except that it was near Luoyang , Henan province ( Gong county is a favourite candidate ) . In later life , he considered himself to belong to the capital city of Chang 'an , ancestral hometown of the Du family . 
","of his father is unknown . He was educated at the University of Guizhou , where he was a student of the Chinese poet Zhuangzi . In the year 715 , he received his master's degree in Chinese literature from the university . The following year he joined the army and was promoted to the rank of lieutenant colonel .","[""is unknown , except that it was near Luoyang , Henan province ( Gong county is a favourite candidate ) . In later life , he considered himself to belong to the capital city of Chang 'an , ancestral hometown of the Du family .""]"
21," Du Fu 's mother died shortly after he was born , and he was partially raised by his aunt . He had an elder brother , who died young . He also had three half brothers and one half sister , to whom he frequently refers in his poems , although he never mentions his stepmother . 
","at the age of twenty-two , but his father was not a member of the royal family . His mother was the daughter of a wealthy merchant who had been married to a nobleman .","['young . He also had three half brothers and one half sister , to whom he frequently refers in his poems , although he never mentions his stepmother .']"
22," The son of a minor scholar @-@ official , his youth was spent on the standard education of a future civil servant : study and memorisation of the Confucian classics of philosophy , history and poetry . He later claimed to have produced creditable poems by his early teens , but these have been lost . 
","English language and literature . His father was an English teacher , and his mother was a native speaker of English . He was educated at a boarding school in London , where he learnt English as a second language .","['Confucian classics of philosophy , history and poetry . He later claimed to have produced creditable poems by his early teens , but these have been lost .']"
23," In the early 730s , he travelled in the Jiangsu / Zhejiang area ; his earliest surviving poem , describing a poetry contest , is thought to date from the end of this period , around 735 . In that year , he took the civil service exam , likely in Chang 'an . He failed , to his surprise and that of centuries of later critics . Hung concludes that he probably failed because his prose style at the time was too dense and obscure , while Chou suggests his failure to cultivate connections in the capital may have been to blame . After this failure , he went back to traveling , this time around Shandong and Hebei . 
",", in his first attempt at writing a poem . His second attempt was unsuccessful , however , and he was forced to return to China in 738 . The poem was translated into Chinese and published in a Chinese edition of the New York Review of Books , which was published by the Chinese Academy of Arts and Sciences in 1978 . It was the first poem to be translated by an English poet .","['and that of centuries of later critics . Hung concludes that he probably failed because his prose style at the time was too dense and obscure , while Chou suggests his failure to cultivate connections in the capital may have been to blame . After this failure , he went back to traveling , this time around Shandong and Hebei .']"
24," His father died around 740 . Du Fu would have been allowed to enter the civil service because of his father 's rank , but he is thought to have given up the privilege in favour of one of his half brothers . He spent the next four years living in the Luoyang area , fulfilling his duties in domestic affairs . 
","birth to a daughter . His mother died at about the same time , and his sister was born at the age of nine . The family moved to New York City , where he worked as a clerk in the city's Department of Public Works .","['up the privilege in favour of one of his half brothers . He spent the next four years living in the Luoyang area , fulfilling his duties in domestic affairs .']"
25," In the autumn of 744 , he met Li Bai ( Li Po ) for the first time , and the two poets formed a friendship . David Young describes this as "" the most significant formative element in Du Fu 's artistic development "" because it gave him a living example of the reclusive poet @-@ scholar life to which he was attracted after his failure in the civil service exam . The relationship was somewhat one @-@ sided , however . Du Fu was by some years the younger , while Li Bai was already a poetic star . We have twelve poems to or about Li Bai from the younger poet , but only one in the other direction . They met again only once , in 745 . 
","graduation from the University of Oxford . Young writes that the friendship "" was the beginning of a long and fruitful relationship between the poet and his fellow students . "" Li Bo , on the other hand , describes it as the "" most important moment of his life "" , because "" it was a time when he felt that he had no other choice but to return to his native country to pursue his studies at Oxford , where he would be able to devote himself to the study of poetry .","['failure in the civil service exam . The relationship was somewhat one @-@ sided , however . Du Fu was by some years the younger , while Li Bai was already a poetic star . We have twelve poems to or about Li Bai from the younger poet , but only one in the other direction . They met again only once , in 745 .']"
26," In 746 , he moved to the capital in an attempt to resurrect his official career . He took the civil service exam a second time during the following year , but all the candidates were failed by the prime minister ( apparently in order to prevent the emergence of possible rivals ) . He never again attempted the examinations , instead petitioning the emperor directly in 751 , 754 and probably again in 755 . He married around 752 , and by 757 the couple had had five children — three sons and two daughters — but one of the sons died in infancy in 755 . From 754 he began to have lung problems ( probably asthma ) , the first of a series of ailments which dogged him for the rest of his life . It was in that year that Du Fu was forced to move his family due to the turmoil of a famine brought about by massive floods in the region . 
","he had three children . In 758 , however, he died of a heart attack at the age of 70 , leaving his wife and two children in the care of their father .  He was succeeded by his younger brother , who succeeded him as governor of the province at that time , as well as his brother and sister , the latter of whom died in a car accident in 804 . The emperor was not pleased with the way the family was treated , so he appointed a new governor to replace him , which he did in 902 , 903 and 904 , respectively , after which time he became the first emperor to hold the post of governor for a period of five years . During his reign ,","['the couple had had five children — three sons and two daughters — but one of the sons died in infancy in 755 . From 754 he began to have lung problems ( probably asthma ) , the first of a series of ailments which dogged him for the rest of his life . It was in that year that Du Fu was forced to move his family due to the turmoil of a famine brought about by massive floods in the region .']"
27," In 755 , he received an appointment as Registrar of the Right Commandant 's office of the Crown Prince 's Palace . Although this was a minor post , in normal times it would have been at least the start of an official career . Even before he had begun work , however , the position was swept away by events . 
","circumstances it would have been an important one . He was appointed to the post in 756 , and in the following year he was promoted to that post . In 757 , however, he resigned from his post and was replaced by the newly appointed Prince of Wales .","['times it would have been at least the start of an official career . Even before he had begun work , however , the position was swept away by events .']"
28," = = = War = = = 
",History of the United States,['War = = =']
29," The An Lushan Rebellion began in December 755 , and was not completely suppressed for almost eight years . It caused enormous disruption to Chinese society : the census of 754 recorded 52 @.@ 9 million people , but ten years later , the census counted just 16 @.@ 9 million , the remainder having been displaced or killed . During this time , Du Fu led a largely itinerant life unsettled by wars , associated famines and imperial displeasure . This period of unhappiness was the making of Du Fu as a poet : Even Shan Chou has written that , "" What he saw around him — the lives of his family , neighbors , and strangers – what he heard , and what he hoped for or feared from the progress of various campaigns — these became the enduring themes of his poetry "" . Even when he learned of the death of his youngest child , he turned to the suffering of others in his poetry instead of dwelling upon his own misfortunes . Du Fu wrote : 
","the first emperor of the Qing dynasty . In the year 756 , he was crowned Emperor of China . His reign was marked by a series of revolts and rebellions , most of which resulted in the deaths of more than 100,000 people . The rebellion was largely peaceful , with the exception of a few skirmishes in which the emperor was killed or wounded . However , in 757 , a rebellion broke out against the imperial government , leading to the death of several hundred thousand people and the destruction of many cities , including the capital of Guizhou .  The uprising was eventually crushed by the People's Liberation Army (PLA ) , which was led by Mao Zedong , who had been exiled to exile in exile from the United States after his death in 1976 . After the uprising , Deng Xiaoping was forced to flee to China , where he","['as a poet : Even Shan Chou has written that , "" What he saw around him — the lives of his family , neighbors , and strangers – what he heard , and what he hoped for or feared from the progress of various campaigns — these became the enduring themes of his poetry "" . Even when he learned of the death of his youngest child , he turned to the suffering of others in his poetry instead of dwelling upon his own misfortunes . Du Fu wrote :']"
30," Brooding on what I have lived through , if even I know such suffering , the common man must surely be rattled by the winds . 
","a thing , I can't help but wonder if it is possible for me to live in a world where there is no such","['suffering , the common man must surely be rattled by the winds .']"
31," In 756 , Emperor Xuanzong was forced to flee the capital and abdicate . Du Fu , who had been away from the city , took his family to a place of safety and attempted to join the court of the new emperor ( Suzong ) , but he was captured by the rebels and taken to Chang 'an . In the autumn , his youngest son , Du Zongwu ( Baby Bear ) , was born . Around this time Du Fu is thought to have contracted malaria . 
",") . However , he was unable to do so due to his lack of experience in the imperial court . He was exiled to the province of Zhejiang , where he remained until his death in 757 . In 758 , after the death of his father , the emperor sent a delegation to visit him in his palace .","["") , but he was captured by the rebels and taken to Chang 'an . In the autumn , his youngest son , Du Zongwu ( Baby Bear ) , was born . Around this time Du Fu is thought to have contracted malaria .""]"
32," He escaped from Chang 'an the following year , and was appointed Reminder when he rejoined the court in May 757 . This post gave access to the emperor but was largely ceremonial . Du Fu 's conscientiousness compelled him to try to make use of it : he caused trouble for himself by protesting the removal of his friend and patron Fang Guan on a petty charge . He was arrested but was pardoned in June . He was granted leave to visit his family in September , but he soon rejoined the court and on December 8 , 757 , he returned to Chang 'an with the emperor following its recapture by government forces . However , his advice continued to be unappreciated , and in the summer of 758 he was demoted to a post as Commissioner of Education in Huazhou . The position was not to his taste : in one poem , he wrote : 
","sentenced to death in July , but his sentence was commuted to life in prison . In August , he was executed on the spot by the Emperor . The following month , his body was buried in a tomb in the city of Chang'an , where it remained until the end of the reign of Emperor Wu 'tian until his death . His tomb was later used as a memorial to commemorate the death of Liu Bei , the first emperor to be executed in China .  The tomb is now the site of a new memorial dedicated to him by a group of scholars who have studied the tomb for more than a century . It is believed that he died of natural causes at the age of 70 , although it is not known if this is the case or if he had been","[""granted leave to visit his family in September , but he soon rejoined the court and on December 8 , 757 , he returned to Chang 'an with the emperor following its recapture by government forces . However , his advice continued to be unappreciated , and in the summer of 758 he was demoted to a post as Commissioner of Education in Huazhou . The position was not to his taste : in one poem , he wrote :""]"
33," I am about to scream madly in the office / Especially when they bring more papers to pile higher on my desk . 
",when I hear the sound of the door closing / and I feel like I am going to die / And I,['when they bring more papers to pile higher on my desk .']
34," He moved on in the summer of 759 ; this has traditionally been ascribed to famine , but Hung believes that frustration is a more likely reason . He next spent around six weeks in Qinzhou ( now Tianshui , Gansu province ) , where he wrote more than sixty poems . 
","cause of the famine . The famine was caused by a combination of factors , such as a lack of food and a shortage of water , which led to the spread of disease and disease-causing bacteria .","['reason . He next spent around six weeks in Qinzhou ( now Tianshui , Gansu province ) , where he wrote more than sixty poems .']"
35," = = = Chengdu = = = 
",@-@ =,['Chengdu = = =']
36," In December 759 , he briefly stayed in Tonggu ( modern Gansu ) . He departed on December 24 for Chengdu ( Sichuan province ) , where he was hosted by local Prefect and fellow poet Pei Di . Du subsequently based himself in Sichuan for most of the next five years . By the autumn of that year he was in financial trouble , and sent poems begging help to various acquaintances . He was relieved by Yan Wu , a friend and former colleague who was appointed governor general at Chengdu . Despite his financial problems , this was one of the happiest and most peaceful periods of his life . Many of Du 's poems from this period are peaceful depictions of his life at "" thatched hut "" . In 762 , he left the city to escape a rebellion , but he returned in summer 764 when he was appointed an advisor to Yan , who was involved in campaigns against the Tibetan Empire . 
","student of his at the University of Guizhou , who offered him a job as a translator . In the spring of 661 , Du received a letter from Yan telling him that he had received an invitation to attend a literary festival in the city . The festival was to be held on the same day as his return to China , but Du did not attend . A few months later , in June 662 , the Chinese government announced that Du would not be allowed to enter the festival , which was scheduled to take place on January 1 , 663 .","['colleague who was appointed governor general at Chengdu . Despite his financial problems , this was one of the happiest and most peaceful periods of his life . Many of Du \'s poems from this period are peaceful depictions of his life at "" thatched hut "" . In 762 , he left the city to escape a rebellion , but he returned in summer 764 when he was appointed an advisor to Yan , who was involved in campaigns against the Tibetan Empire .']"
37," = = = Last years = = = 
",year : =,['years = = =']
38," Luoyang , the region of his birthplace , was recovered by government forces in the winter of 762 , and in the spring of 765 Du Fu and his family sailed down the Yangtze , apparently with the intention of making their way there . They traveled slowly , held up by his ill @-@ health ( by this time he was suffering from poor eyesight , deafness and general old age in addition to his previous ailments ) . They stayed in Kuizhou ( in what is now Baidicheng , Chongqing ) at the entrance to the Three Gorges for almost two years from late spring 766 . This period was Du Fu 's last great poetic flowering , and here he wrote 400 poems in his dense , late style . In autumn 766 , Bo Maolin became governor of the region : he supported Du Fu financially and employed him as his unofficial secretary . 
",", but by the end of the year they were able to make it to the mainland , where they arrived at the capital of Hubei Province . The capital was located on the western side of a mountain range , which was covered by a thick layer of snow .  The city was surrounded by mountains and mountainside forests , as well as a large number of small villages , some of which were inhabited by nomadic tribes . In addition , there were also large numbers of wild animals , such as tigers , leopards , foxes , lions , bears , elephants , crocodiles , hyenas , hippopotamuses , snakes , birds , reptiles , amphibians , mammals , insects , plants , animals and animals of all kinds .","["". They stayed in Kuizhou ( in what is now Baidicheng , Chongqing ) at the entrance to the Three Gorges for almost two years from late spring 766 . This period was Du Fu 's last great poetic flowering , and here he wrote 400 poems in his dense , late style . In autumn 766 , Bo Maolin became governor of the region : he supported Du Fu financially and employed him as his unofficial secretary .""]"
39," In March 768 , he began his journey again and got as far as Hunan province , where he died in Tanzhou ( now Changsha ) in November or December 770 , in his 58th year . He was survived by his wife and two sons , who remained in the area for some years at least . His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813 . 
","buried in a cemetery in the city of Tangshan . His body was found on the outskirts of the capital , and his remains were found at the site of an ancient tomb . The tomb was discovered by a Chinese archaeologist , who found the remains of a man who had been buried with him .","['survived by his wife and two sons , who remained in the area for some years at least . His last known descendant is a grandson who requested a grave inscription for the poet from Yuan Zhen in 813 .']"
40," Hung summarises his life by concluding that , "" He appeared to be a filial son , an affectionate father , a generous brother , a faithful husband , a loyal friend , a dutiful official , and a patriotic subject . "" 
","and a loving husband . He was a good man , but he did not live to see the end of the world . ""","['a generous brother , a faithful husband , a loyal friend , a dutiful official , and a patriotic subject . ""']"
41," Below is an example of one of Du Fu 's later works , To My Retired Friend Wei ( Chinese : 贈衛八處士 ) . Like many other poems in the Tang it featured the theme of a long parting between friends , which was often due to officials being frequently transferred to the provinces : 
","works of his time , it is a collection of short stories . The story begins with a young man named Wei , who has lost his father in a fire and is forced to live with his mother in an orphanage","['poems in the Tang it featured the theme of a long parting between friends , which was often due to officials being frequently transferred to the provinces :']"
42," = = Works = = 
",= History,['Works = =']
43," Criticism of Du Fu 's works has focused on his strong sense of history , his moral engagement , and his technical excellence . 
","of humor , which is evident in his work as a writer and performer . He is known for his humor and","['of history , his moral engagement , and his technical excellence .']"
44," = = = History = = = 
",@-@ =,['History = = =']
45," Since the Song dynasty , critics have called Du Fu the "" poet historian "" ( 詩史 shī shǐ ) . The most directly historical of his poems are those commenting on military tactics or the successes and failures of the government , or the poems of advice which he wrote to the emperor . Indirectly , he wrote about the effect of the times in which he lived on himself , and on the ordinary people of China . As Watson notes , this is information "" of a kind seldom found in the officially compiled histories of the era "" . 
","during his lifetime . He is considered to be one of China's most influential poets , and is regarded as the most important poet in the history of Chinese poetry . His works have been translated into many languages , including English , French , German , Italian , Spanish , Portuguese , Russian , Chinese , Japanese , Korean , Persian , Turkish , Arabic , Greek , Hebrew , Hindi , Thai , Vietnamese , Indian , Latin American , South Asian , Native American and many other languages .","['to the emperor . Indirectly , he wrote about the effect of the times in which he lived on himself , and on the ordinary people of China . As Watson notes , this is information "" of a kind seldom found in the officially compiled histories of the era "" .']"
46," Du Fu 's political comments are based on emotion rather than calculation : his prescriptions have been paraphrased as , "" Let us all be less selfish , let us all do what we are supposed to do "" . Since his views were impossible to disagree with , his forcefully expressed truisms enabled his installation as the central figure of Chinese poetic history . 
","our best to help each other "" , and he has been quoted as saying that "" I will not allow myself to be selfish "" . He has also been described as a "" self-sacrificing man "" and as "" a man of the people "" who "" do not care about others .","['what we are supposed to do "" . Since his views were impossible to disagree with , his forcefully expressed truisms enabled his installation as the central figure of Chinese poetic history .']"
47," = = = Moral engagement = = = 
",and ethical values =,['engagement = = =']
48," A second favourite epithet of Chinese critics is that of "" poet sage "" ( 詩聖 shī shèng ) , a counterpart to the philosophical sage , Confucius . One of the earliest surviving works , The Song of the Wagons ( from around 750 ) , gives voice to the sufferings of a conscript soldier in the imperial army and a clear @-@ sighted consciousness of suffering . These concerns are continuously articulated in poems on the lives of both soldiers and civilians produced by Du Fu throughout his life . 
","is a collection of poems written in the style of Confucianism . The poem is composed of three parts , the first of which is dedicated to a single person , and the second to an entire group of people . In the third part , written by the same author , we learn that the person who wrote the poem has died and is buried in a tomb .","[', gives voice to the sufferings of a conscript soldier in the imperial army and a clear @-@ sighted consciousness of suffering . These concerns are continuously articulated in poems on the lives of both soldiers and civilians produced by Du Fu throughout his life .']"
